repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
26,test,0.7586206896551724,0.7,0.8076923076923077,0.75,0.8930288461538461,0.9032620203288542
27,validation,0.8076923076923077,0.8181818181818182,0.75,0.7826086956521738,0.9285714285714286,0.9257510157326334
27,test,0.8421052631578947,0.9,0.72,0.7999999999999999,0.9025,0.9110942361408871
28,validation,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.9464285714285714,0.9517083916900095
28,test,0.8596491228070176,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9044665012406948,0.9273923177663878
29,validation,0.8076923076923077,0.7692307692307693,0.8333333333333334,0.8,0.9047619047619047,0.9051622901951849
29,test,0.7894736842105263,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.9069478908188586,0.8985145776989858
30,validation,0.6923076923076923,0.6428571428571429,0.75,0.6923076923076924,0.8333333333333334,0.8844612663906143
30,test,0.5344827586206896,0.4897959183673469,0.9230769230769231,0.64,0.7704326923076923,0.8009423897007996
31,validation,0.8846153846153846,1.0,0.75,0.8571428571428571,0.8214285714285714,0.877994351821583
31,test,0.7586206896551724,0.875,0.5384615384615384,0.6666666666666667,0.7848557692307693,0.8106359694151775
32,validation,0.9230769230769231,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9107142857142858,0.9405492424242425
32,test,0.8596491228070176,0.9047619047619048,0.76,0.8260869565217391,0.90625,0.9212432890287648
33,validation,0.7692307692307693,0.75,0.75,0.75,0.8095238095238095,0.8496768143467314
33,test,0.7894736842105263,1.0,0.5384615384615384,0.7000000000000001,0.8722084367245657,0.8881249146724514
34,validation,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.6815476190476191,0.7307692307692308
34,test,0.45614035087719296,0.45614035087719296,1.0,0.6265060240963854,0.6364764267990075,0.7280701754385965
35,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.8571428571428572,0.881779263912416
35,test,0.6551724137931034,0.6,0.6923076923076923,0.6428571428571429,0.734375,0.7687476808533525
36,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.8214285714285714,0.8513452982202983
36,test,0.7758620689655172,0.9333333333333333,0.5384615384615384,0.6829268292682926,0.8509615384615385,0.8607993665335403
37,validation,0.6923076923076923,0.75,0.5,0.6,0.8630952380952381,0.8624740999741001
37,test,0.8245614035087719,0.8571428571428571,0.72,0.782608695652174,0.82625,0.8696746986047453
38,validation,0.5769230769230769,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6547619047619048,0.7431902993284067
38,test,0.7543859649122807,0.7,0.8076923076923077,0.75,0.8883374689826302,0.9158104003565615
39,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.8154761904761905,0.8584252653546132
39,test,0.8245614035087719,1.0,0.6153846153846154,0.761904761904762,0.8535980148883375,0.8858418863882485
40,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.9107142857142857,0.8962737493987495
40,test,0.603448275862069,0.5405405405405406,0.7692307692307693,0.6349206349206349,0.765625,0.8033695635942438
41,validation,0.8076923076923077,0.8181818181818182,0.75,0.7826086956521738,0.8571428571428572,0.8466914207868155
41,test,0.6896551724137931,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7584134615384615,0.7865871069094179
42,validation,0.6923076923076923,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6726190476190476,0.7426001557280584
42,test,0.8070175438596491,1.0,0.56,0.717948717948718,0.8512500000000001,0.8736191208735773
43,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.8809523809523809,0.8948439292189293
43,test,0.8771929824561403,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9032258064516129,0.9267258655094288
44,validation,0.6538461538461539,1.0,0.25,0.4,0.7083333333333334,0.7504332037787922
44,test,0.6491228070175439,0.8,0.3076923076923077,0.4444444444444444,0.6935483870967742,0.7118559792587037
45,validation,0.9615384615384616,0.9230769230769231,1.0,0.9600000000000001,0.9880952380952381,0.9860625485625485
45,test,0.6379310344827587,0.5714285714285714,0.7692307692307693,0.6557377049180327,0.7403846153846154,0.7863026711744053
46,validation,0.8076923076923077,0.8888888888888888,0.6666666666666666,0.761904761904762,0.8452380952380952,0.8729664746015366
46,test,0.7413793103448276,0.8666666666666667,0.5,0.6341463414634146,0.7932692307692308,0.8252132459355987
47,validation,0.6923076923076923,0.7,0.5833333333333334,0.6363636363636365,0.8095238095238095,0.8284798534798536
47,test,0.8596491228070176,0.9047619047619048,0.76,0.8260869565217391,0.89375,0.9129872982178169
48,validation,0.8846153846153846,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8690476190476191,0.8928541828541828
48,test,0.8771929824561403,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9429280397022333,0.9488734945185071
49,validation,0.8846153846153846,1.0,0.75,0.8571428571428571,0.9404761904761905,0.9416601066417243
49,test,0.8947368421052632,1.0,0.7692307692307693,0.8695652173913044,0.9305210918114144,0.944717063533385
